XIST;Neoplasms
XIST;Breast Neoplasms
CDKN2B-AS1;Nasopharyngeal Neoplasms
MALAT1;Lung Neoplasms
EPB41L4A-AS1;Neoplasms
KCNQ1OT1;Carcinoma, Hepatocellular
CDKN2B-AS1;endometriosis
PVT1;Hodgkin Disease
H19;Ovarian Neoplasms
CDKN2B-AS1;Neoplasms
MALAT1;Colorectal Neoplasms
H19;neuroblastoma
MALAT1;Neoplasms
H19;Carcinoma, Hepatocellular
KCNQ1OT1;Colorectal Neoplasms
MALAT1;Pancreatic Neoplasms
H19;melanoma
H19;Breast Neoplasms
HOTAIR;Carcinoma, Hepatocellular
H19;Neoplasms
H19;Lung Neoplasms
MALAT1;Breast Neoplasms
MALAT1;Laryngeal Neoplasms
MALAT1;Carcinoma, Hepatocellular
HOTAIR;Colorectal Neoplasms
MIAT;myocardial infarction
MIAT;schizophrenia
H19;glioma
HOTAIR;Ovarian Neoplasms
MIAT;Neoplasms
CDKN2B-AS1;Breast Neoplasms
HOTAIR;Lung Neoplasms
CDKN2B-AS1;Melanoma
H19;pre-eclampsia
MALAT1;Carcinoma, Non-Small-Cell Lung
HOTAIR;Breast Neoplasms
PVT1;Pancreatic Neoplasms
H19;glioblastoma
Fendrr;Heart Failure
HCP5;Acquired Immunodeficiency Syndrome
PVT1;Burkitt Lymphoma
CDKN2B-AS1;periodontitis
CDKN2B-AS1;Stroke
HOTAIR;Laryngeal Neoplasms
HOTAIR;Carcinoma, Squamous Cell
PVT1;lymphoma
PVT1;Neoplasms
HOTAIR;Neoplasms
SNHG16;Colorectal Neoplasms
HOTAIR;Gastrointestinal Neoplasms
DGCR5;Huntington Disease
TUG1;Carcinoma, Non-Small-Cell Lung
HOTAIR;Colon Neoplasms
PVT1;Breast Neoplasms
H19;obesity
H19;Colon Neoplasms
H19;Gastric Neoplasms
H19;Medulloblastoma
MALAT1;osteosarcoma
MALAT1;Colon Neoplasms
PVT1;Diabetes Mellitus, Type 2
H19;Esophageal Neoplasms
MALAT1;Endometrial Neoplasms
GAS5;Breast Neoplasms
SNHG5;lymphoma
MIR155HG;Leukemia, Lymphocytic, Chronic, B-Cell
H19;Myeloproliferative Disorders
HOTAIR;Carcinoma, Non-Small-Cell Lung
TRAF3IP2-AS1;schizophrenia
GAS5;lymphoma
H19;Trophoblasts
PVT1;Ovarian Neoplasms
MALAT1;Diabetes Mellitus
MALAT1;Nasopharyngeal Neoplasms
GAS5;Neoplasms
CDKN2B-AS1;Carcinoma, Basal Cell
HOTAIR;Esophageal Neoplasms
CDKN2B-AS1;leukemia
CCAT1;Colorectal Neoplasms
HOTAIR;Nasopharyngeal Neoplasms
GAS5;melanoma
H19;Neutropenia
CDKN2B-AS1;Coronary Artery Disease
CCAT1;Gastric Neoplasms
MALAT1;Kidney Neoplasms
DLEU2;Leukemia
DLEU2;Leukemia, lymphoblastic, Chronic
DLEU2;Leukemia, Lymphocytic, Chronic, B-Cell
DLEU2;lymphoma
GAS5;Autoimmune Diseases
GAS5;Prostate Neoplasms
TUG1;Bladder Neoplasms
TUG1;Huntington Disease
H19;Bladder Neoplasms
H19;Cervical Neoplasms
H19;Choriocarcinoma
H19;Kidney Neoplasms
H19;Marek Disease
H19;Neoplasms, Germ Cell and Embryonal
H19;pheochromocytoma
H19;Pituitary Adenomas
H19;Prostate Neoplasms
HOTAIR;Arthritis
HOTAIR;Cervical Neoplasms
HOTAIR;Small Cell Lung Carcinoma
MALAT1;Cervical Neoplasms
MALAT1;Small Cell Lung Carcinoma
PVT1;Diabetes Mellitus
PVT1;Diabetes Mellitus, Type 1
PVT1;Diabetic Nephropathies
PVT1;Prostate Neoplasms
KCNQ1OT1;Kidney Neoplasms
MIR155HG;Leukemia, lymphoblastic, Chronic
SNHG11;obesity
TDRG1;Testicular Neoplasms
PINK1-AS;Metabolic Diseases
PINK1-AS;Parkinson Disease
SNHG16;Bladder Neoplasms
RN7SL1;Acquired Immunodeficiency Syndrome
SNHG3;Alzheimer Disease
CBR3-AS1;carcinoma
CBR3-AS1;Prostate Neoplasms
CDKN2B-AS1;Cardiovascular Diseases
CDKN2B-AS1;Diabetes Mellitus
CDKN2B-AS1;Diabetes Mellitus, Type 2
CDKN2B-AS1;Gastric Neoplasms
CDKN2B-AS1;Intracranial Aneurysm
CDKN2B-AS1;Leukemia, Acute
CDKN2B-AS1;Leukemia, lymphoblastic, Acute
CDKN2B-AS1;Prostate Neoplasms
CRNDE;Colorectal Neoplasms
MEG3;Bladder Neoplasms
MEG3;Colon Neoplasms
MEG3;Diabetes Mellitus
MEG3;Diabetes Mellitus, Type 1
MEG3;Gastric Neoplasms
MEG3;Huntington Disease
MEG3;Kidney Neoplasms
MEG3;Leukemia
MEG3;Leukemia, Acute
MEG3;Leukemia, Myeloid
MEG3;Leukemia, Myeloid, Acute
MEG3;Meningioma
MEG3;Myelodysplastic Syndromes
MEG3;Pituitary Adenomas
MEG3;Prostate Neoplasms
NPPA-AS1;Cardiovascular Diseases
ZFAS1;Breast Neoplasms
MIR17HG;Neoplasms
HOTAIR;Pancreatic Neoplasms
MALAT1;neuroblastoma
CDKN2B-AS1;neuroblastoma
HOTAIR;Gastric Neoplasms
MALAT1;Bladder Neoplasms
HOTAIR;Arthritis, Rheumatoid
H19;atherosclerosis
CASC2;Endometrial Neoplasms
XIST;Testicular Neoplasms
MIR155HG;Leukemia
MEG3;neuroblastoma
PVT1;Kidney Neoplasms
HOTAIR;Endometrial Neoplasms
CDKN2B-AS1;glioma
CDKN2B-AS1;Esophageal Neoplasms
CDKN2B-AS1;myocardial infarction
H19;Meningioma
XIST;Bladder Neoplasms
H19;Liver Neoplasms
GAS5;Kidney Neoplasms
HOTTIP;Carcinoma, Hepatocellular
MEG3;glioma
TINCR;Carcinoma, Squamous Cell
MEG3;Carcinoma, Hepatocellular
CDKN2B-AS1;Alzheimer Disease
MEG3;Neoplasms
CDKN2B-AS1;atherosclerosis
HOTAIR;Liver Neoplasms
MEG3;Lung Neoplasms
MALAT1;Prostate Neoplasms
MAP3K14;Pancreatic Neoplasms
MEG3;Breast Neoplasms
MIR17HG;lymphoma
MALAT1;Liver Neoplasms